127.0.0.1 - - [04/Apr/2017:16:31:50 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:31:50 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:31:50 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:31:50 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:32:07 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:32:07 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:32:07 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:32:07 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:32:25 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:32:25 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:32:25 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:32:25 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:32:50 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:32:50 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:32:50 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:32:50 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:33:39 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:33:39 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:33:39 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:33:39 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:36:50 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:36:50 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:36:50 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:36:50 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:38:42 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:38:42 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:38:42 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:38:42 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:38:45 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:38:45 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:38:45 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:38:45 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:39:48 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:39:48 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:39:48 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:39:48 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:42:58 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:42:58 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:42:58 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:42:58 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:44:18 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:44:18 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:44:18 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:44:18 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:46:23 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:46:23 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:46:23 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:46:23 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:46:30 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:46:30 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:46:30 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:46:30 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:47:31 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:47:31 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:47:38 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:47:38 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:49:51 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:49:51 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:51:38 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:51:38 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:53:47 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:53:47 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:57:29 -0300] "OPTIONS /Grupo4/login HTTP/1.1" 200 -
127.0.0.1 - - [04/Apr/2017:16:57:29 -0300] "POST /Grupo4/login HTTP/1.1" 200 21058
127.0.0.1 - - [04/Apr/2017:16:57:29 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:57:29 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:16:59:16 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:16:59:16 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:17:01:05 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:17:01:05 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:17:05:14 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:17:05:14 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:17:05:51 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:17:05:51 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:17:06:42 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:17:06:42 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:17:06:45 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:17:06:45 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:17:07:32 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
127.0.0.1 - - [04/Apr/2017:17:07:32 -0300] "GET /Grupo4/carteleras/1 HTTP/1.1" 200 523
127.0.0.1 - - [04/Apr/2017:17:08:15 -0300] "GET /Grupo4/carteleras HTTP/1.1" 200 163
